id_hecho;tipo_hecho_segun_victima;provincia_nombre;fecha_hecho;hora_hecho;tipo_lugar;tipo_lugar_otro;tipo_lugar_ampliado;clase_arma;clase_arma_otro;en_ocasion_otro_delito;en_ocasion_otro_delito_otro;victima_sexo;victima_identidad_genero;victima_identidad_genero_otro;victima_tr_edad;victima_mayor;victima_relacion;victima_situacion_ocupacional;inculpado_sexo;inculpado_tr_edad;inculpado_mayor
11535;HD Varón;Neuquén;14/1/2017;22:38:00;Domicilio particular;;Domicilio particular;Arma de fuego;;Sí robo;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin relación;No corresponde;No corresponde;Sin determinar;Sin determinar
11536;HD Varón;Neuquén;7/1/2017;10:35:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;No corresponde;No corresponde;No corresponde;Sí
11537;HD Varón;Neuquén;7/1/2017;16:38:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;No corresponde;No corresponde;No corresponde;Sí
11538;HD Varón;Neuquén;2/1/2017;22:00:00;Domicilio particular;;Domicilio particular;Ahorcamiento / asfixia;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Padre/Madre;No corresponde;No corresponde;No corresponde;Sí
11539;HD Varón;Neuquén;3/4/2017;23:55:00;Vía pública;;Vía pública;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;No corresponde;No corresponde;No corresponde;Sí
11540;HD Varón;Neuquén;12/4/2017;19:00:00;Domicilio particular;;Domicilio particular;Arma de fuego;;Sin determinación;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;Trabajador cuenta propia;No corresponde;Sin determinar;Sin determinar
11541;HD Varón;Neuquén;17/3/2017;02:20:00;Vía pública;;Vía pública;Arma blanca;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;No corresponde;No corresponde;No corresponde;Sí
11542;HD Varón;Neuquén;7/3/2017;21:00:00;Domicilio particular;;Domicilio particular;Sin determinación;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sin determinar;Sin determinación;No corresponde;Sin determinar;Sin determinar;Sin determinar
11543;HD Mujer Cis Trans Travesti-Femicidio;Neuquén;11/3/2017;19:10:00;Domicilio particular;;Domicilio particular;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sí;No corresponde;Trabajador cuenta propia;No corresponde;No corresponde;Sí
11544;HD Varón;Neuquén;12/3/2017;21:30:00;Otro lugar;;Campo/descampado/zona rural;Arma blanca;;Si otro delito;Lesiones;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;No corresponde;No corresponde;No corresponde;Sí
11545;HD Mujer Cis Trans Travesti-Femicidio;Neuquén;8/6/2017;20:50:00;Domicilio particular;;Domicilio particular;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;No corresponde;-----------;No corresponde;Sí;No corresponde;No corresponde;No corresponde;No corresponde;Sí
11546;HD Varón;Neuquén;13/5/2017;14:00:00;Domicilio particular;;Domicilio particular;Arma de fuego;;No fue en ocasión de otro delito;;No corresponde;Varón;-----------;No corresponde;Sí;Sin relación;Sin Determinar;No corresponde;No corresponde;Sí
