id_hecho,tipo_hecho,provincia_nombre,departamento_nombre,fecha_hecho,hora_hecho,cant_inculpados,cant_victimas,tipo_lugar,tipo_lugar_otro,tipo_lugar_ampliado,clase_arma,clase_arma_otro,en_ocasion_otro_delito,en_ocasion_otro_delito_otro,victima_sexo,victima_identidad_genero,victima_identidad_genero_otro,victima_clase,victima_clase_otro,victima_situacion_ocupacional,victima_situacion_ocupacional_otro,victima_relacion,victima_edad,inculpado_sexo,inculpado_identidad_genero,inculpado_edad,inculpado_clase,inculpado_relacion
1,HD M,Neuquén,Confluencia,14/1/2017,22:38:00,3,1,Domicilio particular,,Domicilio particular,Arma de fuego,,Sí robo,,M,M,-----------,C,-------,Empleado de otros sectores,---------,No,45-49,M,M,SD,SD,No
2,HD M,Neuquén,Confluencia,7/1/2017,10:35:00,2,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,Empleado de otros sectores,---------,No,40-44,M,M,30-34,C,No
3,HD M,Neuquén,Confluencia,7/1/2017,16:38:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,Desocupado,---------,No,25-29,M,M,25-29,C,No
4,HD M,Neuquén,Pehuenches,2/1/2017,22:00:00,1,1,Domicilio particular,,Domicilio particular,Ahorcamiento / asfixia,,No,,M,M,-----------,C,-------,Desocupado,---------,Padre/Madre,70-74,M,M,35-39,C,Hijo/a
5,HD M,Neuquén,Confluencia,3/4/2017,23:55:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,Desocupado,---------,No,15-19,M,M,25-29,C,No
6,HD M,Neuquén,Minas,12/4/2017,19:00:00,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,SD,,M,M,-----------,C,-------,Trabajador cuenta propia,Criancero,SD,70-74,F,F,SD,SD,SD
7,HD M,Neuquén,Zapala,17/3/2017,2:20:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C detenido,-------,Empleado de otros sectores,---------,No,40-44,M,M,25-29,C,No
8,HD M,Neuquén,Añelo,7/3/2017,21:00:00,1,1,Domicilio particular,,Domicilio particular,SD,,No,,M,M,-----------,C,-------,Jubilado/pensionado,---------,SD,70-74,SD,SD,SD,SD,SD
9,HD F Cis Trans Travesti-Femicidio,Neuquén,Confluencia,11/3/2017,19:10:00,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,No,,F,F,-----------,C,-------,Trabajador cuenta propia,---------,Ex conyuge / ex pareja,40-44,M,M,45-49,C,Ex conyuge / ex pareja
10,HD M,Neuquén,Lácar,12/3/2017,21:30:00,1,1,Otro lugar,,Campo/descampado/zona rural,Arma blanca,,Si otro delito,Lesiones,M,M,-----------,C,-------,Empleado de otros sectores,---------,No,20-24,M,M,30-34,C,No
11,HD F Cis Trans Travesti-Femicidio,Neuquén,Collón Curá,8/6/2017,20:50:00,1,1,Domicilio particular,,Domicilio particular,Arma de fuego,,No,,F,F,-----------,C,-------,Estudiante,---------,Hijo/a,SD,M,M,30-34,Policía en servicio,Padre/Madre
12,HD M,Neuquén,Confluencia,13/5/2017,14:00:00,1,2,Domicilio particular,,Domicilio particular,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,No,35-39,M,M,40-44,C,No
13,HD M,Neuquén,Confluencia,21/2/2017,2:10:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,Empleado de otros sectores,---------,SD,40-44,SD,SD,SD,SD,SD
14,HD M,Neuquén,Confluencia,21/5/2017,21:35:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,Desocupado,---------,SD,35-39,SD,SD,SD,SD,SD
15,HD F Cis Trans Travesti-Otro homicidio,Neuquén,Aluminé,22/4/2017,10:38:00,1,1,Domicilio particular,,Domicilio particular,Ahorcamiento / asfixia,,No,,F,F,-----------,C,-------,- Menor,---------,Hijo/a,4 o menos,F,F,25-29,C,Padre/Madre
16,HD M,Salta,Capital,1/1/2017,7:30:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,,M,M,-----------,C,-------,Trabajador cuenta propia,---------,Conyuge/ pareja,45-49,F,F,SD,C,Conyuge/ pareja
17,HD M,Salta,Capital,5/1/2017,12:00:00,1,1,Comercio,,Comercio,Objeto contundente,,No,,M,M,-----------,C,-------,Rentista,---------,Cliente / proveedor,35-39,M,M,SD,C,Cliente / proveedor
18,HD F Cis Trans Travesti-Femicidio,Salta,Capital,5/1/2017,14:37:00,1,1,Cárcel o comisaría,,Cárcel o comisaría,Arma blanca,,No,,F,F,-----------,C,-------,SD,---------,Conyuge/ pareja,15-19,M,M,35-39,C detenido,Conyuge/ pareja
19,HD F Cis Trans Travesti-Femicidio,Salta,Grl. José de San Martín,6/1/2017,2:00:00,1,1,Vía pública,,Vía pública,Ahorcamiento / asfixia,,No,,F,F,-----------,C,-------,Ama de casa,---------,Conyuge/ pareja,45-49,M,M,45-49,C,Conyuge/ pareja
20,HD M,Salta,Capital,8/1/2017,5:00:00,1,1,Vía pública,,Vía pública,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,SD,15-19,M,M,SD,SD,SD
21,HD M,Salta,Orán,8/1/2017,6:30:00,4,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,No,15-19,M,M,20-24,C,No
22,HD M,Salta,Orán,14/1/2017,6:30:00,1,1,Vía pública,,Vía pública,Arma blanca,,Sí robo,,M,M,-----------,C,-------,SD,---------,No,20-24,M,M,15-19,C,No
23,HD M,Salta,Grl. José de San Martín,16/1/2017,11:30:00,1,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,SD,---------,SD,15-19,M,M,SD,SD,SD
24,HD F Cis Trans Travesti-Femicidio,Salta,Capital,21/1/2017,8:00:00,1,1,Domicilio particular,,Domicilio particular,Quemaduras,,No,,F,F,-----------,C,-------,SD,---------,Conyuge/ pareja,25-29,M,M,20-24,SD,Conyuge/ pareja
25,HD M,Salta,Grl. José de San Martín,22/1/2017,7:00:00,1,1,Domicilio particular,,Domicilio particular,Arma blanca,,No,,M,M,-----------,C,-------,SD,---------,Otros vínculos familiares,15-19,M,M,20-24,SD,Otros vínculos familiares
26,HD M,Salta,Orán,25/1/2017,1:00:00,2,1,Vía pública,,Vía pública,Arma de fuego,,No,,M,M,-----------,C,-------,Desocupado,---------,No,SD,M,M,20-24,C,No
